"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ПЗПІ-23-2 - ПрПА Лб DL ПЗПІ-23-2","07.04.2025","11:15:00","07.04.2025","12:50:00","Ложь","Истина","07.04.2025","11:10:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ПрПА Лб DL ПЗПІ-23-2","28.04.2025","11:15:00","28.04.2025","12:50:00","Ложь","Истина","28.04.2025","11:10:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ПрПА Лб DL ПЗПІ-23-2","19.05.2025","11:15:00","19.05.2025","12:50:00","Ложь","Истина","19.05.2025","11:10:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ПрПА Лб DL ПЗПІ-23-2","02.06.2025","11:15:00","02.06.2025","12:50:00","Ложь","Истина","02.06.2025","11:10:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ФВ Зал DL ПЗПІ-23-2","09.06.2025","11:15:00","09.06.2025","12:50:00","Ложь","Истина","09.06.2025","11:10:00","2","Обычная","ФВ Зал DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ОПJа Зал DL ПЗПІ-23-2","16.06.2025","11:15:00","16.06.2025","12:50:00","Ложь","Истина","16.06.2025","11:10:00","2","Обычная","ОПJа Зал DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - Філ Конс DL ПЗПІ-23-2","23.06.2025","11:15:00","23.06.2025","12:50:00","Ложь","Истина","23.06.2025","11:10:00","2","Обычная","Філ Конс DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-3 - Філ Пз DL ПЗПІ-23-3","03.03.2025","11:15:00","03.03.2025","12:50:00","Ложь","Истина","03.03.2025","11:10:00","2","Обычная","Філ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - Філ Пз DL ПЗПІ-23-3","17.03.2025","11:15:00","17.03.2025","12:50:00","Ложь","Истина","17.03.2025","11:10:00","2","Обычная","Філ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - Філ Пз DL ПЗПІ-23-3","31.03.2025","11:15:00","31.03.2025","12:50:00","Ложь","Истина","31.03.2025","11:10:00","2","Обычная","Філ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - Філ Пз DL ПЗПІ-23-3","14.04.2025","11:15:00","14.04.2025","12:50:00","Ложь","Истина","14.04.2025","11:10:00","2","Обычная","Філ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - Філ Пз DL ПЗПІ-23-3","28.04.2025","11:15:00","28.04.2025","12:50:00","Ложь","Истина","28.04.2025","11:10:00","2","Обычная","Філ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - Філ Пз DL ПЗПІ-23-3","12.05.2025","11:15:00","12.05.2025","12:50:00","Ложь","Истина","12.05.2025","11:10:00","2","Обычная","Філ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - Філ Пз DL ПЗПІ-23-3","26.05.2025","11:15:00","26.05.2025","12:50:00","Ложь","Истина","26.05.2025","11:10:00","2","Обычная","Філ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - Філ Пз DL ПЗПІ-23-3","02.06.2025","11:15:00","02.06.2025","12:50:00","Ложь","Истина","02.06.2025","11:10:00","2","Обычная","Філ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - СмП Зал DL ПЗПІ-23-3","09.06.2025","11:15:00","09.06.2025","12:50:00","Ложь","Истина","09.06.2025","11:10:00","2","Обычная","СмП Зал DL ПЗПІ-23-3","Обычный"
